iter	Logloss
0	0.6860139316
1	0.6786591451
2	0.6714715309
3	0.6646764698
4	0.6578476767
5	0.6512849939
6	0.6453735926
7	0.6397767177
8	0.6341899555
9	0.6290536373
10	0.6242531876
11	0.6190185478
12	0.6145693545
13	0.6101969884
14	0.6059488516
15	0.6017242765
16	0.5976913704
17	0.5942327033
18	0.5903225231
19	0.5865976099
20	0.5828107221
21	0.5792481997
22	0.5762149644
23	0.5730617826
24	0.5699167184
25	0.5670900095
26	0.5643153596
27	0.561833137
28	0.5592387122
29	0.5569499068
30	0.5541822584
31	0.5519398124
32	0.5496491762
33	0.5474859278
34	0.5455111907
35	0.5434576024
36	0.5417464361
37	0.5400142462
38	0.5382937616
39	0.5368589522
40	0.5350149642
41	0.5336012
42	0.5320149779
43	0.5306192958
44	0.5291707848
45	0.5276644949
46	0.526275299
47	0.52466515
48	0.5235147633
49	0.5221960312
50	0.5208636852
51	0.519776328
52	0.5186340945
53	0.5175640523
54	0.5163411466
55	0.5154565082
56	0.5145984219
57	0.513553502
58	0.5126078152
59	0.5116882018
60	0.5109278005
61	0.5100119566
62	0.5091767731
63	0.5082912855
64	0.5075395056
65	0.5065846528
66	0.5058000792
67	0.505077207
68	0.5044137274
69	0.5038357205
70	0.5031636966
71	0.5024291499
72	0.5017920697
73	0.5010873122
74	0.5003094991
75	0.4998163548
76	0.4991177795
77	0.4986836442
78	0.4981211246
79	0.4976531722
80	0.4971306901
81	0.4967289319
82	0.4962652667
83	0.49587422
84	0.4954833629
85	0.4950499969
86	0.4946602606
87	0.4942766625
88	0.4939435865
89	0.493549479
90	0.493176899
91	0.4928640716
92	0.4924502564
93	0.4920564852
94	0.4916732103
95	0.4913709334
96	0.490998418
97	0.4906307082
98	0.4902032182
99	0.4898441659
100	0.4894895275
101	0.4891923713
102	0.488859458
103	0.4886675391
104	0.4883869089
105	0.4881632217
106	0.4878527257
107	0.4877096306
108	0.4874490131
109	0.4871963377
110	0.4869235074
111	0.4866765594
112	0.4864440477
113	0.486235155
114	0.4860663908
115	0.4858384237
116	0.4855895521
117	0.4853257512
118	0.4851176273
119	0.4849682881
120	0.4847898165
121	0.4846179029
122	0.4843181707
123	0.4840821197
124	0.483889517
125	0.4836906895
126	0.4835068663
127	0.4833598424
128	0.4831527127
129	0.4829770421
130	0.4827818014
131	0.4826409214
132	0.4824652884
133	0.4823081696
134	0.4822056396
135	0.4820698204
136	0.4819281008
137	0.4817840096
138	0.4816280493
139	0.4814776595
140	0.4812894679
141	0.4811961394
142	0.4809618106
143	0.4808417948
144	0.4806947568
145	0.4805322188
146	0.4803961283
147	0.4802709596
148	0.4801862431
149	0.4800049524
150	0.4798729826
151	0.479729527
152	0.4795844154
153	0.4794743043
154	0.4793777477
155	0.4792662546
156	0.479151454
157	0.4790422132
158	0.4789380853
159	0.4788324522
160	0.4786933745
161	0.4786184747
162	0.4785033127
163	0.4784081017
164	0.478248801
165	0.4781441435
166	0.4780691803
167	0.4779885438
168	0.4778692785
169	0.4777682213
170	0.4776513423
171	0.4775675432
172	0.4774835399
173	0.4774085281
174	0.4773379562
175	0.4772683879
176	0.4772269238
177	0.4771706444
178	0.4770326387
179	0.4769174235
180	0.476805
181	0.4766675826
182	0.4765450914
183	0.4764735338
184	0.4763472228
185	0.4762026917
186	0.476149401
187	0.4760248244
188	0.47592253
189	0.4758818262
190	0.4758117194
191	0.4757195016
192	0.475651001
193	0.4755643307
194	0.4754946045
195	0.4753717304
196	0.4752719934
197	0.475192437
198	0.4750971842
199	0.4750084326
200	0.4749440293
201	0.4748758656
202	0.4748167044
203	0.4747571195
204	0.4746814757
205	0.4745925456
206	0.4745319711
207	0.4743671395
208	0.4742410966
209	0.4741451291
210	0.4740878942
211	0.4740058604
212	0.4739517215
213	0.4738734698
214	0.4737849842
215	0.4736731459
216	0.4735785611
217	0.4735075621
218	0.4734261728
219	0.4733531365
220	0.473276658
221	0.4732233829
222	0.4731294685
223	0.4730684393
224	0.4730105586
225	0.4729470359
226	0.4728693656
227	0.4728093787
228	0.4727374797
229	0.4726872518
230	0.4726115877
231	0.4725747958
232	0.4725142638
233	0.4724694222
234	0.4724051669
235	0.4723561762
236	0.4723096965
237	0.4722551821
238	0.4721729244
239	0.4721143205
240	0.4720268153
241	0.4719664774
242	0.47190105
243	0.4718493704
244	0.4717703382
245	0.4717123916
246	0.4716705769
247	0.4716242003
248	0.4715863669
249	0.4715124206
250	0.4714336863
251	0.4713834997
252	0.4713398554
253	0.4712700747
254	0.4712153804
255	0.4711788229
256	0.4711129922
257	0.4710161687
258	0.4709490557
259	0.4708758224
260	0.470827983
261	0.4707471472
262	0.4706839338
263	0.4706294868
264	0.4705730849
265	0.4704981343
266	0.470425513
267	0.4703363764
268	0.4702672448
269	0.4702396045
270	0.4702104489
271	0.4701544596
272	0.4700953903
273	0.4700577919
274	0.4699854639
275	0.4699364817
276	0.4698774893
277	0.4698470387
278	0.4697932247
279	0.4697590084
